Ticker,Company Name,Country,Sector,Industry,10 Day Average Volume,Price,Current Shares,Dividend Yield,Recommendation Key,"Recommendation Mean (1=Strong Buy, 5=Strong Sell)",Target Mean Price,Target High Price,Target Low Price,Target Median Price,PEG Ratio,Beta,Trailing P/E,Forward P/E,Trailing EPS,Forward EPS,52 Week Change,"52 Week Relative Price (1=52 week high, 0=52 week low)",Log Market Cap,Overall Risk (1-10),Percent of Shares Held by Institutions,Percent of Shares Held by Insiders,Company Description
0EXG.IL,"Jerónimo Martins, SGPS, S.A.",Portugal,Consumer Defensive,Food Distribution,197548.0,21.9 EUR,22,2.55 %,none,,None EUR,None EUR,None EUR,None EUR,,0.436561,20.055046,,1.09,,-4.79 %,0.3997734994337486,10.164451976887529,10.0,24.534,56.18300000000001,"Jerónimo Martins, SGPS, S.A. operates in the food distribution and specialized retail sectors in Portugal, Poland, and Colombia. The company operates through Portugal Retail; Portugal Cash & Carry; Poland Retail; Colombia Retail; and Others, Eliminations and Adjustments segments. It operates food stores under the Biedronka name; and a chain of health and beauty stores under the Hebe banner in Poland, as well as food stores under the Ara name in Colombia. The company also operates supermarkets under the Pingo Doce banner; and cash and carry stores under the Recheio name in Portugal. In addition, it operates restaurants under the Pingo Doce name; Bem-Estar pharmacies; petrol stations; and clothing under Code brand. Further, the company operates kiosks and coffee shops under the Jeronymo name; and chocolates and confectionary retail stores under Hussel name. Additionally, the company engages in human resources top management, real estate management and administration, training, and saline brackish waters aquaculture; wholesale of fruit and vegetables; retail management, consultancy, and logistics activities; the purchase and sale of real estate; growing of crops and farming of animals; retail sale of health and beauty products; manufacture of milk and dairy products; and provision of economic and accounting, business portfolio management, financial, and sea passenger water transport services. It is also involved in the trading and distribution of consumer goods; retail and wholesale of non-food products; other business support service activities; and provision of services in the area of wholesale and retail distribution. The company was founded in 1792 and is headquartered in Lisbon, Portugal. Jerónimo Martins, SGPS, S.A. is a subsidiary of Sociedade Francisco Manuel dos Santos, SGPS, S.E."
1COV.DE,Covestro AG,Germany,Basic Materials,Specialty Chemicals,691205.0,51.5 EUR,0,0 %,buy,2.3,51.3 EUR,66 EUR,38 EUR,51.5 EUR,-2.22,1.424549,,18.52518,-4.49,2.78,+59.3 %,0.9326282804543674,9.987671183328112,2.0,55.899,4.578,"Covestro AG supplies high-tech polymer materials and related application solutions. It operates in two segments, Performance Materials, and Solutions & Specialties. The Performance Materials segment develops, produces, and supplies high-performance materials, such as polyurethanes and polycarbonates, and base chemicals, which include diphenylmethane diisocyanate (MDI), toluylene diisocyanate, long-chain polyols, and polycarbonate resins for use in furniture and wood processing, construction, automotive, and transportation industries, as well as roof structures, insulation for buildings and refrigerators, mattresses, car seats, and other applications. The Solutions & Specialties segment comprises a range of polymer products, including polycarbonates, precursors for coatings and adhesives, MDI specialties and polyols, thermoplastic polyurethanes, specialty films, and elastomers that are used in automotive and transportation, electrical, electronics and household appliances, construction, and healthcare industries, as well as composite resins for wind turbine rotor blades, laptop cases, and floodlights. The company markets its products through trading houses and distributors. It operates in Europe, the Middle East, Africa, Latin America, the United States, Canada, and the People's Republic of China. The company was founded in 1863 and is headquartered in Leverkusen, Germany."
ABI.BR,Anheuser-Busch InBev SA/NV,Belgium,Consumer Defensive,Beverages—Brewers,1044571.0,52.4 EUR,3,1.43 %,buy,2.1,63.4 EUR,77.2 EUR,50.1 EUR,64.2 EUR,1.93,1.127627,18.522968,15.601191,2.83,3.36,+2.99 %,0.41755238384451876,11.01315339659573,8.0,14.674999999999999,48.661998000000004,"Anheuser-Busch InBev SA/NV produces, distributes, markets, and sells beer and beverages. It offers a portfolio of approximately 500 beer brands, which primarily include Budweiser, Corona, and Stella Artois; Beck's, Hoegaarden, Leffe, and Michelob Ultra; and Aguila, Antarctica, Bud Light, Brahma, Cass, Castle, Castle Lite, Cristal, Harbin, Jupiler, Modelo Especial, Quilmes, Victoria, Sedrin, and Skol brands. The company was founded in 1366 and is headquartered in Leuven, Belgium."
ABN.AS,ABN AMRO Bank N.V.,Netherlands,Financial Services,Banks—Diversified,3179031.0,13.4 EUR,0,9.65 %,hold,2.6,17.6 EUR,22.4 EUR,9.4 EUR,17.8 EUR,0.59,1.250375,4.928044,5.342,2.71,2.5,+28.8 %,0.5618153364632238,10.070524157827885,3.0,39.771,6.647,"ABN AMRO Bank N.V. provides various banking products and services to retail, private, and business clients in the Netherlands and internationally. It operates through three segments: Personal & Business Banking, Wealth Management, and Corporate Banking. The company provides savings and deposits products; labelled residential mortgage products under the Florius brands; and consumer loans under the Alpha Credit Nederland, Credivance, Defam, Moneyou, and ABN AMRO brands. It also issues, promotes, manages, and processes credit cards; provides revolving credit card facilities and pension schemes, as well as consumer credit and mortgages; and life and non-life insurance products. In addition, it offers asset-based solutions, including working capital solutions, equipment leases and loans, and vendor lease services; private banking and wealth-management-related services; and derivatives and equity clearing services. ABN AMRO Bank N.V. was incorporated in 2009 and is headquartered in Amsterdam, the Netherlands."
AC.PA,Accor SA,France,Consumer Cyclical,Lodging,554935.0,33.7 EUR,0,2.12 %,buy,2.1,37.1 EUR,46 EUR,13 EUR,39 EUR,0.68,1.289039,16.620691,17.214287,2.03,1.96,+36.4 %,0.9526202440775308,9.952513791669114,8.0,52.854997000000004,20.865000000000002,"Accor SA operates a chain of hotels worldwide. It operates through three segments: Management & Franchise; Services to Owners and Hotel Assets; and Others. The company owns, operates, manages, and franchises hotels. It also provides digital services to independent hotel operators through D-edge platform; Gekko solutions for leisure and travel industry and large companies; and concierge and customized services through John Paul, as well as hotel booking services; and other services in events, fine dining, and entertainment through Paris Society and Potel & Chabot platforms. In addition, the company offers distribution activities, such as private sales of hotel accommodation and luxury vacations through VeryChic platform; rental of private residences operated by onefinestay; and coworking spaces through Wojo and Mama Works. Further, it provides hotel management, procurement, cash management, IT, and advertising services, as well as various advisory services. Accor SA was founded in 1967 and is headquartered in Issy-les-Moulineaux, France."
ACA.PA,Crédit Agricole S.A.,France,Financial Services,Banks—Regional,4510570.0,11.2 EUR,0,9.36 %,hold,2.9,13.1 EUR,14.9 EUR,11.5 EUR,13.3 EUR,0.7,1.610735,6.164641,6.3397727,1.81,1.76,+14.8 %,0.7765306122448976,10.533807079455498,7.0,11.099,63.07300300000001,"Crédit Agricole S.A. provides retail, corporate, insurance, and investment banking products and services in France, Italy, rest of Europe, and internationally. It operates through Asset Gathering; Large Customers; Specialised Financial Services; French Retail Banking - LCL; and International Retail Banking segments. The company offers banking products and services, including savings, current, and money market accounts and deposits; finance, payment, and cash flow management services; consumer finance products; and banking and specialized financial services. It also provides wealth management services comprising a range of savings and investment solutions in traditional or real assets; and savings/retirement, death and disability/creditor/group, and property and casualty insurance products. In addition, the company offers financing solutions for property and equipment investment and renewal requirements; trade receivable financing and management solutions for corporates; and financing services for renewable energy and public infrastructure projects, as well as leasing services. Further, it provides investment banking, structured finance, international trade finance, commercial banking, capital market, and syndication services; asset servicing solutions for investment products, as well as various asset classes, such as execution, clearing, forex, security lending and borrowing, custody, depositary bank, fund administration, middle-office outsourcing solutions, and fund distribution support and issuer services; and online banking services. The company serves retail customers, corporates, banks and financial institutions, government agencies, and local authorities. Crédit Agricole S.A. was founded in 1894 and is headquartered in Montrouge, France. Crédit Agricole S.A. operates as a subsidiary of SAS Rue La Boétie."
ACKB.BR,Ackermans & Van Haaren NV,Belgium,Industrials,Engineering & Construction,45282.0,142 EUR,0,2.2 %,buy,2.0,185 EUR,200 EUR,169 EUR,188 EUR,,0.718093,7.929688,10.395026,17.92,13.67,-4.69 %,0.3924050632911392,9.679452667045355,8.0,13.424,33.0,"Ackermans & Van Haaren NV, through its subsidiaries, engages in the marine engineering and contracting, private banking, real estate and senior care, and energy and resources businesses worldwide. The company operates through five segments: Marine Engineering & Contracting, Private Banking, Real Estate & Senior Care, Energy & Resources, and AvH & Growth Capital. The Marine Engineering & Contracting segment engages in the marine construction activities, including dredging and civil works on water, as well as offshore activities in the areas of renewable energy, oil and gas, soil and sludge remediation, and aggregate and mineral extraction; real estate development activities; and development of port projects and related industrial zones, as well as offshore wind farms. The Private Banking segment offers discretionary asset management services for various private clients; specialized advisory banking services for entrepreneurs and liberal professionals; and car finance and leasing services through car dealers. The Real Estate & Senior Care segment develops mixed real estate projects, including redevelopment of iconic buildings and new constructions; and invests and develops residential, and retail and office properties. The Energy & Resources segment produces crude palm oil and bananas; offers hybrid palm oil seeds; and manufactures cement. The AvH & Growth Capital is involved in the provision of advice, engineering, and solutions in production process automation; validation and compliance services to the healthcare sector; production and sale of compact biogas installations intended for dairy cattle and pig farms, and water purification stations; manufacture of steel structures and modules for the hoisting and automotive industry; and dealing and leasing of commercial vehicles, and distribution of aftermarket products for passenger cars, trucks, and industrial applications. Ackermans & Van Haaren NV was founded in 1876 and is headquartered in Antwerp, Belgium."
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",Spain,Industrials,Engineering & Construction,280526.0,32.5 EUR,0,10.8 %,buy,2.4,29.3 EUR,40 EUR,22.4 EUR,29.2 EUR,2.88,1.116741,12.492308,17.094736,2.6,1.9,+38.2 %,0.9798165137614674,9.932755777800619,7.0,20.854001,19.163999,"ACS, Actividades de Construcción y Servicios, S.A. provides construction and related services in Spain and internationally. The company undertakes construction activities related to development of highways, railways, maritime, airport works, hydraulic infrastructures, coasts, ports, civil engineering, educational and sports facilities, residential, and social infrastructures and facilities; undertakes contracts for the provision of mining services and infrastructure required for mining activities; and offers maintenance services for buildings, public places, and organizations. It also engages in the operation and maintenance activities, and development of real estate infrastructures; design, development, construction, and operation of infrastructure projects, real estates, and facilities; and promotion and development of transport and public facilities, as well as management of different public-private collaboration models. In addition, the company offers services for people, such as care for elderly citizens and dependent people. Further, it provides services for building, such as maintenance, energy efficiency, cleaning, security, and logistics and auxiliary services. ACS, Actividades de Construcción y Servicios, S.A. was founded in 1997 and is based in Madrid, Spain."
ACX.MC,"Acerinox, S.A.",Spain,Basic Materials,Steel,570287.0,9.1 EUR,0,6.59 %,buy,1.8,12.5 EUR,16 EUR,8.4 EUR,12.2 EUR,-0.22,1.331456,9.5831585,7.168504,0.95,1.27,-0.914 %,0.46417197452229286,9.355637363759948,2.0,41.679,5.5,"Acerinox, S.A., together with its subsidiaries, manufactures, process, and markets stainless steel products in Spain, the Americas, Africa, Asia, Rest of Europe, and internationally. It operates through Stainless steel, and High-performance Alloys segments. The company offers flat products, including hot and cold rolled coils and sheets, strips, flat bars, and discs, as well as engraved coil, slabs, billets, and plates. It provides long products, which include steel and color coated wires, hexagonal wire rods, peeled, bars, hot and cold reinforcement bars, black bars, and steel profiles. In additions, it offers stainless steel grades, such as austenitic, ferritic, duplex, martensitic, and welding. Acerinox, S.A. was incorporated in 1970 and is headquartered in Madrid, Spain."
AD.AS,Koninklijke Ahold Delhaize N.V.,Netherlands,Consumer Defensive,Grocery Stores,1951009.0,28.9 EUR,8,3.74 %,buy,2.1,33 EUR,35 EUR,28.5 EUR,33.5 EUR,2.95,0.229729,11.756098,10.791044,2.46,2.68,+1.71 %,0.49186128803963236,10.466168483291701,1.0,53.634,0.08099999999999999,"Koninklijke Ahold Delhaize N.V. operates retail food stores and e-commerce primarily in the United States and Europe. The company's stores offer produce, dairy, meat, deli, bakery, seafood, and frozen products; grocery, dairy, and beer and wine; floral, pet food, health and beauty care, kitchen and cookware, gardening tools, general merchandise articles, electronics, newspapers and magazines, tobacco, etc.; gasoline; and pharmacy products. It operates its supermarkets, convenience stores, and online stores under the Food Lion, Stop & Shop, The GIANT Company, Hannaford, Giant Food, FreshDirect, Albert Heijn, bol.com, Etos, Gall & Gall, Delhaize, Albert, Alfa Beta Vassilopoulos, Mega Image, and Delhaize Serbia brands. The company was formerly known as Koninklijke Ahold N.V. and changed its name to Koninklijke Ahold Delhaize N.V. in July 2016. Koninklijke Ahold Delhaize N.V. was founded in 1867 and is headquartered in Zaandam, the Netherlands."
